pca,k,vot_pes,alpha,epsilon,acc,std
1,4,1,45,1e-6,0.9663095238095238,0.0016357680035540892
1,3,0,45,1e-6,0.9724047619047619,0.0020278670809397736
1,3,1,45,1e-6,0.9692142857142858,0.0015696237832237693
1,2,0,45,1e-6,0.9670238095238096,0.0003912303982179771
1,2,1,45,1e-6,0.971642857142857,0.0017615829821994017
1,1,0,45,1e-6,0.971642857142857,0.0017615829821994017
1,1,1,45,1e-6,0.971642857142857,0.0017615829821994017
1,8,0,43,1e-6,0.9711904761904762,0.002415229457698255
1,8,1,43,1e-6,0.9566190476190476,0.002729904934678303
1,7,0,43,1e-6,0.9717142857142858,0.002479622164180979
1,7,1,43,1e-6,0.9582380952380951,0.00234907228274678
1,6,0,43,1e-6,0.9721428571428572,0.002735506022160974
1,6,1,43,1e-6,0.961309523809524,0.0019386859986497515
1,5,0,43,1e-6,0.9725952380952381,0.0028822311211677215
1,5,1,43,1e-6,0.9640000000000001,0.0018937179833474747
1,4,0,43,1e-6,0.9723333333333333,0.0025181878089749086
1,4,1,43,1e-6,0.9666190476190476,0.0013183683999911523
1,3,0,43,1e-6,0.9725238095238096,0.0023778551283326474
1,3,1,43,1e-6,0.9692142857142857,0.0015714285714285732
1,2,0,43,1e-6,0.9665476190476191,0.001134393261863963
1,2,1,43,1e-6,0.9718809523809524,0.0020067911910196033
1,1,0,43,1e-6,0.9718809523809524,0.0020067911910196033
1,1,1,43,1e-6,0.9718809523809524,0.0020067911910196033
1,8,0,41,1e-6,0.9714761904761906,0.0026391007195083866
1,8,1,41,1e-6,0.955857142857143,0.002242902638301088
1,7,0,41,1e-6,0.9717142857142858,0.0022844738697735396
1,7,1,41,1e-6,0.9586666666666668,0.0018154664324483993
1,6,0,41,1e-6,0.9724285714285715,0.002838830202055038
1,6,1,41,1e-6,0.961309523809524,0.00100734265720506
1,5,0,41,1e-6,0.9726190476190475,0.0028650683726650257
1,5,1,41,1e-6,0.9637142857142855,0.0012335079854274773
1,4,0,41,1e-6,0.9727619047619047,0.0027780725467182995
1,4,1,41,1e-6,0.9673333333333334,0.0013375782766845976
1,3,0,41,1e-6,0.9726904761904762,0.002624021251504038
1,3,1,41,1e-6,0.9694285714285714,0.00139930335761094
1,2,0,41,1e-6,0.9671904761904762,0.0007953949089757196
1,2,1,41,1e-6,0.9720238095238096,0.0016444092047459163
1,1,0,41,1e-6,0.9720238095238096,0.0016444092047459163
1,1,1,41,1e-6,0.9720238095238096,0.0016444092047459163
1,8,0,39,1e-6,0.9719047619047618,0.0026736727692628095
1,8,1,39,1e-6,0.9562380952380952,0.002826823253267799
1,7,0,39,1e-6,0.9722619047619048,0.00212292315477701
1,7,1,39,1e-6,0.9583095238095238,0.001725820978516201
1,6,0,39,1e-6,0.9726428571428573,0.002598839789977117
1,6,1,39,1e-6,0.9615,0.0021725456608610353
1,5,0,39,1e-6,0.9733095238095238,0.0028436187860635272
1,5,1,39,1e-6,0.963952380952381,0.0014876666049345988
1,4,0,39,1e-6,0.9727142857142856,0.002408648438769624
1,4,1,39,1e-6,0.9668571428571427,0.001503208963587098
1,3,0,39,1e-6,0.9729285714285714,0.002595784127791678
1,3,1,39,1e-6,0.9692142857142857,0.0011029747449428982
1,2,0,39,1e-6,0.9674761904761905,0.001132893071749558
1,2,1,39,1e-6,0.9719285714285715,0.0016825771184813922
1,1,0,39,1e-6,0.9719285714285715,0.0016825771184813922
1,1,1,39,1e-6,0.9719285714285715,0.0016825771184813922
1,8,0,37,1e-6,0.9718809523809524,0.0027359204613758526
1,8,1,37,1e-6,0.9548571428571428,0.0022416385325599504
1,7,0,37,1e-6,0.9722857142857142,0.0023706921786465157
1,7,1,37,1e-6,0.9577380952380953,0.0023582248598884247
1,6,0,37,1e-6,0.9725238095238096,0.0026867863446277253
1,6,1,37,1e-6,0.9612142857142857,0.0014431792819706486
1,5,0,37,1e-6,0.9727380952380951,0.002814160822303303
1,5,1,37,1e-6,0.9643809523809524,0.0007581753965757495
1,4,0,37,1e-6,0.9726666666666667,0.0023804761428476043
1,4,1,37,1e-6,0.9668809523809523,0.0015925706198276705
1,3,0,37,1e-6,0.9731190476190477,0.0028763245001886444
1,3,1,37,1e-6,0.9695,0.001343498664730097
1,2,0,37,1e-6,0.9673095238095237,0.001525668508914363
1,2,1,37,1e-6,0.9715952380952381,0.0016642840111715394
1,1,0,37,1e-6,0.9715952380952381,0.0016642840111715394
1,1,1,37,1e-6,0.9715952380952381,0.0016642840111715394
1,8,0,35,1e-6,0.9719999999999999,0.002116772454370763
